major_code,special_name,special_type,type_name,catalog_level,level2_name,level3_name,civil_service_fit_score,civil_service_fit_level,exam_scope,direct_role_count,direct_exact_role_count,direct_broad_role_count,direct_no_major_limit_role_count,direct_quasi_three_unlimited_role_count,direct_exact_role_pct,direct_broad_role_pct,direct_no_major_limit_role_pct,direct_quasi_three_unlimited_role_pct,position_match_profile,suitable_role_types,direct_plan_num_sum,direct_weighted_competition_ratio,direct_low_restriction_role_count,direct_central_role_count,direct_central_role_pct,direct_central_avg_competition_ratio,direct_provincial_role_count,direct_provincial_role_pct,direct_provincial_avg_competition_ratio,direct_city_role_count,direct_city_role_pct,direct_city_avg_competition_ratio,direct_county_or_below_role_count,direct_county_or_below_role_pct,direct_county_or_below_avg_competition_ratio,graduate_path_role_count,textual_all_role_count,textual_exact_role_match_count,textual_broad_role_match_count,textual_opportunity_level,upgrade_or_graduate_potential_level,fit_basis,tier1_head_research_reading,tier2_regional_reading,tier3_applied_vocational_reading,sample_departments,sample_job_names
020108T,经济工程,本科(普通),,本科,经济学,经济学类,69.6,较强适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,5551.0,2.0,5549.0,0.0,0.0,0.0,100.0,0.0,0.0,主要靠专业大类/门类岗位,税务系统(4544)；财政审计金融监管(800)；统计调查(156)；公安/移民/基层执法(35)；海关/边检(23)；交通海事民航铁路(5),11281.0,77.11,4365.0,7.0,0.1,432.43,61.0,1.1,131.73,524.0,9.4,101.04,4959.0,89.3,83.88,392.0,5943.0,2.0,5941.0,very_high,升学后较强潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,头部院校优势主要体现在保研/读研后进入更高层级岗位。,区域重点/特色院校可重点面向省市县税务、执法、市场监管和事业单位路径。,应用本科可走县区基层、行政执法和地方单位，学校层级不宜夸大。,上海出入境边防检查总站|上海市公安局特勤局|中国井冈山干部学院|中国人民银行|中国人民银行云南省分行|中国人民银行内蒙古自治区分行|中国人民银行北京市分行|中国人民银行吉林省分行,一处一级主任科员及以下|一级主任科员及以下|一级主任科员及以下一|一级主任科员及以下（一）|一级主任科员及以下（二）|一级主办及以下|一级主办及以下(一)|一级主办及以下(二)
020109T,数字经济,本科(普通),,本科,经济学,经济学类,84.1,强适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,5556.0,62.0,5494.0,0.0,0.0,1.1,98.9,0.0,0.0,主要靠专业大类/门类岗位,税务系统(4544)；财政审计金融监管(804)；统计调查(156)；公安/移民/基层执法(37)；海关/边检(25)；交通海事民航铁路(5),11290.0,77.05,4367.0,6.0,0.1,352.83,62.0,1.1,140.41,528.0,9.5,100.49,4960.0,89.3,83.87,416.0,5972.0,87.0,5885.0,very_high,升学后较强潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,头部院校可把该专业作为中央/省级机关、选调和研究生岗位的主赛道之一。,区域重点/特色院校可重点面向省市县税务、执法、市场监管和事业单位路径。,应用本科可走县区基层、行政执法和地方单位，学校层级不宜夸大。,上海出入境边防检查总站|上海市公安局特勤局|中国井冈山干部学院|中国人民银行|中国人民银行云南省分行|中国人民银行内蒙古自治区分行|中国人民银行北京市分行|中国人民银行吉林省分行,一处一级主任科员及以下|一级主任科员及以下|一级主任科员及以下一|一级主任科员及以下（一）|一级主任科员及以下（二）|一级主办及以下|一级主办及以下(一)|一级主办及以下(二)
020201K,财政学,本科(普通),,本科,经济学,财政学类,87.0,强适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,6300.0,88.0,6212.0,0.0,0.0,1.4,98.6,0.0,0.0,主要靠专业大类/门类岗位,税务系统(5525)；财政审计金融监管(633)；海关/边检(94)；公安/移民/基层执法(40)；统计调查(19)；交通海事民航铁路(4),13408.0,76.67,5138.0,9.0,0.1,248.63,92.0,1.5,78.4,657.0,10.4,97.28,5542.0,88.0,86.59,430.0,6730.0,119.0,6611.0,very_high,升学后较强潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,头部院校可把该专业作为中央/省级机关、选调和研究生岗位的主赛道之一。,区域重点/特色院校可重点面向省市县税务、执法、市场监管和事业单位路径。,应用本科可走县区基层、行政执法和地方单位，学校层级不宜夸大。,上海出入境边防检查总站|上海市公安局特勤局|上海海关|东北虎豹国家公园管理局|中华全国供销合作总社|中国井冈山干部学院|中国人民银行|中国人民银行云南省分行,一处一级主任科员及以下|一处一级警长及以下|一级主任科员及以下|一级主任科员及以下一|一级主任科员及以下（一）|一级主任科员及以下（三）|一级主任科员及以下（二）|一级主办及以下
020202,税收学,本科(普通),,本科,经济学,财政学类,84.8,强适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,6274.0,56.0,6218.0,0.0,0.0,0.9,99.1,0.0,0.0,主要靠专业大类/门类岗位,税务系统(5525)；财政审计金融监管(628)；海关/边检(84)；公安/移民/基层执法(38)；统计调查(19)；交通海事民航铁路(4),13364.0,76.44,5127.0,6.0,0.1,296.17,87.0,1.4,75.81,649.0,10.3,96.91,5532.0,88.2,86.02,411.0,6685.0,63.0,6622.0,very_high,升学后较强潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,头部院校可把该专业作为中央/省级机关、选调和研究生岗位的主赛道之一。,区域重点/特色院校可重点面向省市县税务、执法、市场监管和事业单位路径。,应用本科可走县区基层、行政执法和地方单位，学校层级不宜夸大。,上海出入境边防检查总站|上海市公安局特勤局|上海海关|中国井冈山干部学院|中国人民银行|中国人民银行云南省分行|中国人民银行内蒙古自治区分行|中国人民银行北京市分行,一处一级主任科员及以下|一处一级警长及以下|一级主任科员及以下|一级主任科员及以下一|一级主任科员及以下（一）|一级主任科员及以下（三）|一级主任科员及以下（二）|一级主办及以下
020203TK,国际税收,本科(普通),,本科,经济学,财政学类,78.7,强适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,6228.0,15.0,6213.0,0.0,0.0,0.2,99.8,0.0,0.0,主要靠专业大类/门类岗位,税务系统(5525)；财政审计金融监管(618)；公安/移民/基层执法(37)；海关/边检(34)；统计调查(19)；交通海事民航铁路(4),13303.0,76.37,5090.0,8.0,0.1,279.38,88.0,1.4,79.24,642.0,10.3,97.47,5490.0,88.2,85.73,411.0,6639.0,21.0,6618.0,very_high,升学后较强潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,头部院校可把该专业作为中央/省级机关、选调和研究生岗位的主赛道之一。,区域重点/特色院校可重点面向省市县税务、执法、市场监管和事业单位路径。,应用本科可走县区基层、行政执法和地方单位，学校层级不宜夸大。,上海出入境边防检查总站|上海市公安局特勤局|东北虎豹国家公园管理局|中国井冈山干部学院|中国人民银行|中国人民银行云南省分行|中国人民银行内蒙古自治区分行|中国人民银行北京市分行,一处一级主任科员及以下|一处一级警长及以下|一级主任科员及以下|一级主任科员及以下一|一级主任科员及以下（一）|一级主任科员及以下（三）|一级主任科员及以下（二）|一级主办及以下
020301K,金融学,本科(普通),,本科,经济学,金融学类,84.9,强适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,4798.0,88.0,4710.0,0.0,0.0,1.8,98.2,0.0,0.0,主要靠专业大类/门类岗位,税务系统(3842)；财政审计金融监管(845)；海关/边检(64)；公安/移民/基层执法(40)；统计调查(16)；交通海事民航铁路(6),9882.0,74.56,3651.0,5.0,0.1,91.03,73.0,1.5,85.64,507.0,10.6,88.7,4213.0,87.8,84.77,344.0,5142.0,110.0,5032.0,very_high,升学后较强潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,头部院校可把该专业作为中央/省级机关、选调和研究生岗位的主赛道之一。,区域重点/特色院校可重点面向省市县税务、执法、市场监管和事业单位路径。,应用本科可走县区基层、行政执法和地方单位，学校层级不宜夸大。,上海出入境边防检查总站|上海市公安局特勤局|上海市邮政管理局|中国人民银行|中国人民银行云南省分行|中国人民银行内蒙古自治区分行|中国人民银行北京市分行|中国人民银行吉林省分行,一级主任科员及以下|一级主任科员及以下一|一级主任科员及以下（一）|一级主任科员及以下（三）|一级主任科员及以下（二）|一级主办及以下|一级主办及以下(一)|一级主办及以下(二)
020302,金融工程,本科(普通),,本科,经济学,金融学类,80.6,强适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,4755.0,34.0,4721.0,0.0,0.0,0.7,99.3,0.0,0.0,主要靠专业大类/门类岗位,税务系统(3842)；财政审计金融监管(849)；公安/移民/基层执法(36)；海关/边检(25)；统计调查(15)；交通海事民航铁路(4),9820.0,74.43,3625.0,3.0,0.1,59.5,81.0,1.7,92.9,495.0,10.4,89.07,4176.0,87.8,84.09,410.0,5165.0,121.0,5044.0,very_high,升学后较强潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,头部院校可把该专业作为中央/省级机关、选调和研究生岗位的主赛道之一。,区域重点/特色院校可重点面向省市县税务、执法、市场监管和事业单位路径。,应用本科可走县区基层、行政执法和地方单位，学校层级不宜夸大。,上海出入境边防检查总站|上海市公安局特勤局|上海市邮政管理局|中国人民银行|中国人民银行上海总部|中国人民银行云南省分行|中国人民银行内蒙古自治区分行|中国人民银行北京市分行,一级主任科员及以下|一级主任科员及以下一|一级主任科员及以下（一）|一级主任科员及以下（三）|一级主任科员及以下（二）|一级主办及以下|一级主办及以下(一)|一级主办及以下(二)
020303,保险学,本科(普通),,本科,经济学,金融学类,78.1,强适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,4742.0,21.0,4721.0,0.0,0.0,0.4,99.6,0.0,0.0,主要靠专业大类/门类岗位,税务系统(3842)；财政审计金融监管(842)；公安/移民/基层执法(35)；海关/边检(18)；统计调查(15)；交通海事民航铁路(4),9802.0,74.29,3617.0,3.0,0.1,59.5,74.0,1.6,87.25,490.0,10.3,88.92,4175.0,88.0,83.95,326.0,5068.0,23.0,5045.0,very_high,升学后较强潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,头部院校可把该专业作为中央/省级机关、选调和研究生岗位的主赛道之一。,区域重点/特色院校可重点面向省市县税务、执法、市场监管和事业单位路径。,应用本科可走县区基层、行政执法和地方单位，学校层级不宜夸大。,上海出入境边防检查总站|上海市公安局特勤局|上海市邮政管理局|中国人民银行|中国人民银行云南省分行|中国人民银行内蒙古自治区分行|中国人民银行北京市分行|中国人民银行吉林省分行,一级主任科员及以下|一级主任科员及以下一|一级主任科员及以下（一）|一级主任科员及以下（三）|一级主任科员及以下（二）|一级主办及以下|一级主办及以下(一)|一级主办及以下(二)
020304,投资学,本科(普通),,本科,经济学,金融学类,74.4,较强适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,4730.0,9.0,4721.0,0.0,0.0,0.2,99.8,0.0,0.0,主要靠专业大类/门类岗位,税务系统(3842)；财政审计金融监管(830)；公安/移民/基层执法(35)；海关/边检(18)；统计调查(15)；交通海事民航铁路(4),9801.0,74.29,3606.0,4.0,0.1,45.29,77.0,1.6,87.41,484.0,10.2,89.71,4165.0,88.1,84.04,338.0,5068.0,23.0,5045.0,very_high,升学后较强潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,头部院校优势主要体现在保研/读研后进入更高层级岗位。,区域重点/特色院校可重点面向省市县税务、执法、市场监管和事业单位路径。,应用本科可走县区基层、行政执法和地方单位，学校层级不宜夸大。,上海出入境边防检查总站|上海市公安局特勤局|上海市邮政管理局|中国人民银行|中国人民银行云南省分行|中国人民银行内蒙古自治区分行|中国人民银行北京市分行|中国人民银行吉林省分行,一级主任科员及以下|一级主任科员及以下一|一级主任科员及以下（一）|一级主任科员及以下（三）|一级主任科员及以下（二）|一级主办及以下|一级主办及以下(一)|一级主办及以下(二)
020305T,金融数学,本科(普通),,本科,经济学,金融学类,72.1,较强适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,4726.0,5.0,4721.0,0.0,0.0,0.1,99.9,0.0,0.0,主要靠专业大类/门类岗位,税务系统(3842)；财政审计金融监管(826)；公安/移民/基层执法(35)；海关/边检(19)；统计调查(15)；交通海事民航铁路(4),9785.0,74.42,3604.0,3.0,0.1,59.5,75.0,1.6,92.82,485.0,10.3,89.7,4163.0,88.1,84.08,395.0,5121.0,77.0,5044.0,very_high,升学后较强潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,头部院校优势主要体现在保研/读研后进入更高层级岗位。,区域重点/特色院校可重点面向省市县税务、执法、市场监管和事业单位路径。,应用本科可走县区基层、行政执法和地方单位，学校层级不宜夸大。,上海出入境边防检查总站|上海市公安局特勤局|上海市邮政管理局|中国人民银行|中国人民银行上海总部|中国人民银行云南省分行|中国人民银行内蒙古自治区分行|中国人民银行北京市分行,一级主任科员及以下|一级主任科员及以下一|一级主任科员及以下（一）|一级主任科员及以下（三）|一级主任科员及以下（二）|一级主办及以下|一级主办及以下(一)|一级主办及以下(二)
