major_code,special_name,special_type,type_name,catalog_level,level2_name,level3_name,civil_service_fit_score,civil_service_fit_level,exam_scope,direct_role_count,direct_exact_role_count,direct_broad_role_count,direct_no_major_limit_role_count,direct_quasi_three_unlimited_role_count,direct_exact_role_pct,direct_broad_role_pct,direct_no_major_limit_role_pct,direct_quasi_three_unlimited_role_pct,position_match_profile,suitable_role_types,direct_plan_num_sum,direct_weighted_competition_ratio,direct_low_restriction_role_count,direct_central_role_count,direct_central_role_pct,direct_central_avg_competition_ratio,direct_provincial_role_count,direct_provincial_role_pct,direct_provincial_avg_competition_ratio,direct_city_role_count,direct_city_role_pct,direct_city_avg_competition_ratio,direct_county_or_below_role_count,direct_county_or_below_role_pct,direct_county_or_below_avg_competition_ratio,graduate_path_role_count,textual_all_role_count,textual_exact_role_match_count,textual_broad_role_match_count,textual_opportunity_level,upgrade_or_graduate_potential_level,fit_basis,tier1_head_research_reading,tier2_regional_reading,tier3_applied_vocational_reading,sample_departments,sample_job_names
081701,轻化工程,本科(普通),,本科,工学,轻工类,41.2,中等适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,60.0,8.0,52.0,0.0,0.0,13.3,86.7,0.0,0.0,主要靠专业大类/门类岗位,海关/边检(37)；公安/移民/基层执法(28)；交通海事民航铁路(5)；统计调查(3),88.0,85.05,13.0,0.0,0.0,,16.0,26.7,27.88,20.0,33.3,74.07,24.0,40.0,192.73,25.0,85.0,8.0,77.0,limited,升学后中等潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,可作为备选路径，适合叠加党员、基层项目、应届身份等条件。,可作为基层备选，但要靠地域、应届和限制条件放大机会。,上海出入境边防检查总站|上海市公安局特勤局|中国民用航空局华东地区管理局|中国法学会|云南出入境边防检查总站|人力资源和社会保障部|全国总工会|公安部,一级主任科员及以下|一级警长及以下（一）|一级警长及以下（七）|一级警长及以下（五）|一级警长及以下（八）|一级警长及以下（六）|业务处一级主任科员及以下|业务处室一级主任科员及以下
081702,包装工程,本科(普通),,本科,工学,轻工类,37.1,中等适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,54.0,2.0,52.0,0.0,0.0,3.7,96.3,0.0,0.0,主要靠专业大类/门类岗位,海关/边检(31)；公安/移民/基层执法(28)；交通海事民航铁路(5)；统计调查(3),81.0,70.16,9.0,0.0,0.0,,15.0,27.8,21.27,19.0,35.2,55.91,20.0,37.0,177.46,25.0,79.0,2.0,77.0,limited,升学后中等潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,可作为备选路径，适合叠加党员、基层项目、应届身份等条件。,可作为基层备选，但要靠地域、应届和限制条件放大机会。,上海出入境边防检查总站|上海市公安局特勤局|中国民用航空局华东地区管理局|中国法学会|云南出入境边防检查总站|人力资源和社会保障部|全国总工会|公安部,一级主任科员及以下|一级警长及以下（一）|一级警长及以下（七）|一级警长及以下（五）|一级警长及以下（八）|一级警长及以下（六）|业务处一级主任科员及以下|业务处室一级主任科员及以下
081703,印刷工程,本科(普通),,本科,工学,轻工类,35.0,中等适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,53.0,1.0,52.0,0.0,0.0,1.9,98.1,0.0,0.0,主要靠专业大类/门类岗位,海关/边检(30)；公安/移民/基层执法(29)；交通海事民航铁路(5)；统计调查(3),82.0,68.8,7.0,0.0,0.0,,15.0,28.3,21.27,20.0,37.7,54.23,18.0,34.0,193.7,25.0,78.0,1.0,77.0,limited,升学后中等潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,可作为备选路径，适合叠加党员、基层项目、应届身份等条件。,可作为基层备选，但要靠地域、应届和限制条件放大机会。,上海出入境边防检查总站|上海市公安局特勤局|中国民用航空局华东地区管理局|中国法学会|云南出入境边防检查总站|人力资源和社会保障部|全国总工会|公安部,一级主任科员及以下|一级警长及以下（一）|一级警长及以下（七）|一级警长及以下（五）|一级警长及以下（八）|一级警长及以下（六）|业务处一级主任科员及以下|业务处室一级主任科员及以下
081704T,香料香精技术与工程,本科(普通),,本科,工学,轻工类,31.5,弱适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,52.0,0.0,52.0,0.0,0.0,0.0,100.0,0.0,0.0,主要靠专业大类/门类岗位,海关/边检(29)；公安/移民/基层执法(28)；交通海事民航铁路(5)；统计调查(3),77.0,71.83,7.0,0.0,0.0,,15.0,28.8,21.27,19.0,36.5,55.91,18.0,34.6,193.7,25.0,77.0,0.0,77.0,limited,升学后中等潜力,主要来自专业类/学科门类宽口径匹配，报考前必须核官方专业目录。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,岗位窗口较窄，建议只作为就业备选项。,不适合作为普通应用院校的考公主卖点。,上海出入境边防检查总站|上海市公安局特勤局|中国民用航空局华东地区管理局|中国法学会|云南出入境边防检查总站|人力资源和社会保障部|全国总工会|公安部,一级主任科员及以下|一级警长及以下（一）|一级警长及以下（七）|一级警长及以下（五）|一级警长及以下（八）|一级警长及以下（六）|业务处一级主任科员及以下|业务处室一级主任科员及以下
081705T,化妆品技术与工程,本科(普通),,本科,工学,轻工类,41.8,中等适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,61.0,9.0,52.0,0.0,0.0,14.8,85.2,0.0,0.0,主要靠专业大类/门类岗位,海关/边检(38)；公安/移民/基层执法(28)；交通海事民航铁路(5)；统计调查(3),86.0,102.93,16.0,0.0,0.0,,15.0,24.6,21.27,21.0,34.4,75.44,25.0,41.0,251.42,25.0,86.0,9.0,77.0,limited,升学后中等潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,可作为备选路径，适合叠加党员、基层项目、应届身份等条件。,可作为基层备选，但要靠地域、应届和限制条件放大机会。,上海出入境边防检查总站|上海市公安局特勤局|中国民用航空局华东地区管理局|中国法学会|云南出入境边防检查总站|人力资源和社会保障部|全国总工会|公安部,一级主任科员及以下|一级警长及以下（一）|一级警长及以下（七）|一级警长及以下（五）|一级警长及以下（八）|一级警长及以下（六）|业务处一级主任科员及以下|业务处室一级主任科员及以下
081706TK,生物质能源与材料,本科(普通),,本科,工学,轻工类,31.5,弱适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,52.0,0.0,52.0,0.0,0.0,0.0,100.0,0.0,0.0,主要靠专业大类/门类岗位,海关/边检(29)；公安/移民/基层执法(28)；交通海事民航铁路(5)；统计调查(3),77.0,71.83,7.0,0.0,0.0,,15.0,28.8,21.27,19.0,36.5,55.91,18.0,34.6,193.7,25.0,77.0,0.0,77.0,limited,升学后中等潜力,主要来自专业类/学科门类宽口径匹配，报考前必须核官方专业目录。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,岗位窗口较窄，建议只作为就业备选项。,不适合作为普通应用院校的考公主卖点。,上海出入境边防检查总站|上海市公安局特勤局|中国民用航空局华东地区管理局|中国法学会|云南出入境边防检查总站|人力资源和社会保障部|全国总工会|公安部,一级主任科员及以下|一级警长及以下（一）|一级警长及以下（七）|一级警长及以下（五）|一级警长及以下（八）|一级警长及以下（六）|业务处一级主任科员及以下|业务处室一级主任科员及以下
081707T,生物质技术与工程,本科(普通),,本科,工学,轻工类,31.5,弱适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,52.0,0.0,52.0,0.0,0.0,0.0,100.0,0.0,0.0,主要靠专业大类/门类岗位,海关/边检(29)；公安/移民/基层执法(28)；交通海事民航铁路(5)；统计调查(3),77.0,71.83,7.0,0.0,0.0,,15.0,28.8,21.27,19.0,36.5,55.91,18.0,34.6,193.7,25.0,77.0,0.0,77.0,limited,升学后中等潜力,主要来自专业类/学科门类宽口径匹配，报考前必须核官方专业目录。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,岗位窗口较窄，建议只作为就业备选项。,不适合作为普通应用院校的考公主卖点。,上海出入境边防检查总站|上海市公安局特勤局|中国民用航空局华东地区管理局|中国法学会|云南出入境边防检查总站|人力资源和社会保障部|全国总工会|公安部,一级主任科员及以下|一级警长及以下（一）|一级警长及以下（七）|一级警长及以下（五）|一级警长及以下（八）|一级警长及以下（六）|业务处一级主任科员及以下|业务处室一级主任科员及以下
081801,交通运输,本科(普通),,本科,工学,交通运输类,57.2,较强适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,306.0,33.0,273.0,0.0,0.0,10.8,89.2,0.0,0.0,主要靠专业大类/门类岗位,税务系统(230)；公安/移民/基层执法(32)；海关/边检(23)；交通海事民航铁路(22)；统计调查(3)；生态环境/自然资源/农业水利(1),605.0,122.92,137.0,2.0,0.7,27.29,16.0,5.2,37.56,41.0,13.4,108.1,247.0,80.7,137.7,83.0,389.0,85.0,304.0,medium,升学后中等潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,头部院校优势主要体现在保研/读研后进入更高层级岗位。,区域重点/特色院校可重点面向省市县税务、执法、市场监管和事业单位路径。,应用本科可走县区基层、行政执法和地方单位，学校层级不宜夸大。,上海出入境边防检查总站|上海市公安局特勤局|上海海事局|上海铁路公安局|中国民用航空局东北地区管理局|中国民用航空局中南地区管理局|中国民用航空局华东地区管理局|中国民用航空局新疆管理局,一级主任科员及以下|一级主任科员及以下（英语三）|一级主办及以下|一级主办及以下（一）|一级主办及以下（三）|一级主办及以下（二）|一级科员|一级科员一
081802,交通工程,本科(普通),,本科,工学,交通运输类,57.7,较强适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,317.0,41.0,276.0,0.0,0.0,12.9,87.1,0.0,0.0,主要靠专业大类/门类岗位,税务系统(230)；交通海事民航铁路(45)；公安/移民/基层执法(33)；海关/边检(24)；统计调查(3),594.0,127.3,158.0,1.0,0.3,32.0,14.0,4.4,30.64,59.0,18.6,104.8,243.0,76.7,138.8,41.0,358.0,49.0,309.0,medium,升学后中等潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,区域重点/特色院校可重点面向省市县税务、执法、市场监管和事业单位路径。,应用本科可走县区基层、行政执法和地方单位，学校层级不宜夸大。,上海出入境边防检查总站|上海市公安局特勤局|上海海事局|上海铁路公安局|中国民用航空局中南地区管理局|中国民用航空局华东地区管理局|中国民用航空局西北地区管理局|中国法学会,一级主任科员及以下|一级主办及以下|一级主办及以下（一）|一级主办及以下（三）|一级主办及以下（二）|一级行政执法员|一级行政执法员（一）|一级行政执法员（七）
081803K,航海技术,本科(普通),,本科,工学,交通运输类,67.9,较强适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,435.0,159.0,276.0,0.0,0.0,36.6,63.4,0.0,0.0,以对口岗位为主,税务系统(230)；交通海事民航铁路(166)；公安/移民/基层执法(35)；海关/边检(23)；统计调查(3),772.0,119.71,245.0,0.0,0.0,,17.0,3.9,28.97,180.0,41.4,115.39,238.0,54.7,138.24,36.0,472.0,163.0,309.0,medium,升学后中等潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,区域重点/特色院校可重点面向省市县税务、执法、市场监管和事业单位路径。,应用本科可走县区基层、行政执法和地方单位，学校层级不宜夸大。,上海出入境边防检查总站|上海市公安局特勤局|上海海事局|上海铁路公安局|中国民用航空局华东地区管理局|中国法学会|全国总工会|公安部,一级主任科员及以下|一级主办|一级主办及以下|一级主办及以下（一）|一级主办及以下（三）|一级主办及以下（二）|一级主办（一）|一级科员
081804K,轮机工程,本科(普通),,本科,工学,交通运输类,65.2,较强适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,414.0,138.0,276.0,0.0,0.0,33.3,66.7,0.0,0.0,以对口岗位为主,税务系统(230)；交通海事民航铁路(142)；公安/移民/基层执法(31)；海关/边检(26)；统计调查(3),741.0,124.07,237.0,0.0,0.0,,16.0,3.9,30.75,153.0,37.0,115.7,245.0,59.2,139.78,54.0,468.0,159.0,309.0,medium,升学后中等潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,头部院校优势主要体现在保研/读研后进入更高层级岗位。,区域重点/特色院校可重点面向省市县税务、执法、市场监管和事业单位路径。,应用本科可走县区基层、行政执法和地方单位，学校层级不宜夸大。,上海出入境边防检查总站|上海市公安局特勤局|上海海事局|上海铁路公安局|中国民用航空局华东地区管理局|中国法学会|全国总工会|公安部,一级主任科员及以下|一级主办|一级主办及以下|一级主办及以下（一）|一级主办及以下（三）|一级主办及以下（二）|一级主办（二）|一级科员
081805K,飞行技术,本科(普通),,本科,工学,交通运输类,49.5,中等适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,284.0,8.0,276.0,0.0,0.0,2.8,97.2,0.0,0.0,主要靠专业大类/门类岗位,税务系统(230)；公安/移民/基层执法(30)；海关/边检(17)；交通海事民航铁路(13)；统计调查(3),556.0,126.56,127.0,0.0,0.0,,14.0,4.9,13.71,26.0,9.2,100.58,244.0,85.9,134.91,33.0,317.0,8.0,309.0,medium,升学后中等潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,可作为备选路径，适合叠加党员、基层项目、应届身份等条件。,可作为基层备选，但要靠地域、应届和限制条件放大机会。,上海出入境边防检查总站|上海市公安局特勤局|上海铁路公安局|中国民用航空局东北地区管理局|中国民用航空局中南地区管理局|中国民用航空局华东地区管理局|中国民用航空局华北地区管理局|中国民用航空局西北地区管理局,一级主任科员及以下|一级主办及以下|一级主办及以下（一）|一级主办及以下（三）|一级主办及以下（二）|一级行政执法员|一级行政执法员（一）|一级行政执法员（七）
081806T,交通设备与控制工程,本科(普通),,本科,工学,交通运输类,38.9,中等适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,276.0,0.0,276.0,0.0,0.0,0.0,100.0,0.0,0.0,主要靠专业大类/门类岗位,税务系统(230)；公安/移民/基层执法(30)；海关/边检(17)；交通海事民航铁路(13)；统计调查(3),548.0,128.24,127.0,0.0,0.0,,13.0,4.7,14.54,26.0,9.4,100.58,237.0,85.9,138.53,33.0,309.0,0.0,309.0,medium,升学后中等潜力,主要来自专业类/学科门类宽口径匹配，报考前必须核官方专业目录。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,可作为备选路径，适合叠加党员、基层项目、应届身份等条件。,可作为基层备选，但要靠地域、应届和限制条件放大机会。,上海出入境边防检查总站|上海市公安局特勤局|上海铁路公安局|中国民用航空局华东地区管理局|中国法学会|全国总工会|公安部|内蒙古出入境边防检查总站,一级主任科员及以下|一级主办及以下|一级主办及以下（一）|一级主办及以下（三）|一级主办及以下（二）|一级行政执法员|一级行政执法员（一）|一级行政执法员（七）
081807T,救助与打捞工程,本科(普通),,本科,工学,交通运输类,42.2,中等适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,277.0,1.0,276.0,0.0,0.0,0.4,99.6,0.0,0.0,主要靠专业大类/门类岗位,税务系统(230)；公安/移民/基层执法(30)；海关/边检(17)；交通海事民航铁路(14)；统计调查(3),549.0,128.86,128.0,0.0,0.0,,13.0,4.7,14.54,27.0,9.7,114.3,237.0,85.6,138.53,33.0,310.0,1.0,309.0,medium,升学后中等潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,可作为备选路径，适合叠加党员、基层项目、应届身份等条件。,可作为基层备选，但要靠地域、应届和限制条件放大机会。,上海出入境边防检查总站|上海市公安局特勤局|上海铁路公安局|中国民用航空局华东地区管理局|中国法学会|全国总工会|公安部|内蒙古出入境边防检查总站,一级主任科员及以下|一级主办及以下|一级主办及以下（一）|一级主办及以下（三）|一级主办及以下（二）|一级行政执法员|一级行政执法员（一）|一级行政执法员（七）
081808TK,船舶电子电气工程,本科(普通),,本科,工学,交通运输类,54.9,中等适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,301.0,25.0,276.0,0.0,0.0,8.3,91.7,0.0,0.0,主要靠专业大类/门类岗位,税务系统(230)；公安/移民/基层执法(31)；交通海事民航铁路(29)；海关/边检(26)；统计调查(3),586.0,130.16,147.0,0.0,0.0,,14.0,4.7,18.71,42.0,14.0,130.77,245.0,81.4,139.78,34.0,335.0,26.0,309.0,medium,升学后中等潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,可作为备选路径，适合叠加党员、基层项目、应届身份等条件。,可作为基层备选，但要靠地域、应届和限制条件放大机会。,上海出入境边防检查总站|上海市公安局特勤局|上海铁路公安局|中国民用航空局华东地区管理局|中国法学会|全国总工会|公安部|内蒙古出入境边防检查总站,一级主任科员及以下|一级主办及以下|一级主办及以下（一）|一级主办及以下（三）|一级主办及以下（二）|一级行政执法员|一级行政执法员（一）|一级行政执法员（七）
081809T,轨道交通电气与控制,本科(普通),,本科,工学,交通运输类,38.9,中等适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,276.0,0.0,276.0,0.0,0.0,0.0,100.0,0.0,0.0,主要靠专业大类/门类岗位,税务系统(230)；公安/移民/基层执法(30)；海关/边检(17)；交通海事民航铁路(13)；统计调查(3),548.0,128.24,127.0,0.0,0.0,,13.0,4.7,14.54,26.0,9.4,100.58,237.0,85.9,138.53,34.0,310.0,1.0,309.0,medium,升学后中等潜力,主要来自专业类/学科门类宽口径匹配，报考前必须核官方专业目录。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,可作为备选路径，适合叠加党员、基层项目、应届身份等条件。,可作为基层备选，但要靠地域、应届和限制条件放大机会。,上海出入境边防检查总站|上海市公安局特勤局|上海铁路公安局|中国民用航空局华东地区管理局|中国法学会|全国总工会|公安部|内蒙古出入境边防检查总站,一级主任科员及以下|一级主办及以下|一级主办及以下（一）|一级主办及以下（三）|一级主办及以下（二）|一级行政执法员|一级行政执法员（一）|一级行政执法员（七）
081810T,邮轮工程与管理,本科(普通),,本科,工学,交通运输类,38.9,中等适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,276.0,0.0,276.0,0.0,0.0,0.0,100.0,0.0,0.0,主要靠专业大类/门类岗位,税务系统(230)；公安/移民/基层执法(30)；海关/边检(17)；交通海事民航铁路(13)；统计调查(3),548.0,128.24,127.0,0.0,0.0,,13.0,4.7,14.54,26.0,9.4,100.58,237.0,85.9,138.53,33.0,309.0,0.0,309.0,medium,升学后中等潜力,主要来自专业类/学科门类宽口径匹配，报考前必须核官方专业目录。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,可作为备选路径，适合叠加党员、基层项目、应届身份等条件。,可作为基层备选，但要靠地域、应届和限制条件放大机会。,上海出入境边防检查总站|上海市公安局特勤局|上海铁路公安局|中国民用航空局华东地区管理局|中国法学会|全国总工会|公安部|内蒙古出入境边防检查总站,一级主任科员及以下|一级主办及以下|一级主办及以下（一）|一级主办及以下（三）|一级主办及以下（二）|一级行政执法员|一级行政执法员（一）|一级行政执法员（七）
081811T,智慧交通,本科(普通),,本科,工学,交通运输类,44.1,中等适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,278.0,2.0,276.0,0.0,0.0,0.7,99.3,0.0,0.0,主要靠专业大类/门类岗位,税务系统(230)；公安/移民/基层执法(30)；海关/边检(18)；交通海事民航铁路(14)；统计调查(3),551.0,127.68,129.0,0.0,0.0,,13.0,4.7,14.54,27.0,9.7,97.3,238.0,85.6,138.18,33.0,311.0,2.0,309.0,medium,升学后中等潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,可作为备选路径，适合叠加党员、基层项目、应届身份等条件。,可作为基层备选，但要靠地域、应届和限制条件放大机会。,上海出入境边防检查总站|上海市公安局特勤局|上海铁路公安局|中国民用航空局华东地区管理局|中国法学会|全国总工会|公安部|内蒙古出入境边防检查总站,一级主任科员及以下|一级主办及以下|一级主办及以下（一）|一级主办及以下（三）|一级主办及以下（二）|一级行政执法员|一级行政执法员（一）|一级行政执法员（七）
081812T,智能运输工程,本科(普通),,本科,工学,交通运输类,38.9,中等适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,276.0,0.0,276.0,0.0,0.0,0.0,100.0,0.0,0.0,主要靠专业大类/门类岗位,税务系统(230)；公安/移民/基层执法(30)；海关/边检(17)；交通海事民航铁路(13)；统计调查(3),548.0,128.24,127.0,0.0,0.0,,13.0,4.7,14.54,26.0,9.4,100.58,237.0,85.9,138.53,33.0,309.0,0.0,309.0,medium,升学后中等潜力,主要来自专业类/学科门类宽口径匹配，报考前必须核官方专业目录。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,可作为备选路径，适合叠加党员、基层项目、应届身份等条件。,可作为基层备选，但要靠地域、应届和限制条件放大机会。,上海出入境边防检查总站|上海市公安局特勤局|上海铁路公安局|中国民用航空局华东地区管理局|中国法学会|全国总工会|公安部|内蒙古出入境边防检查总站,一级主任科员及以下|一级主办及以下|一级主办及以下（一）|一级主办及以下（三）|一级主办及以下（二）|一级行政执法员|一级行政执法员（一）|一级行政执法员（七）
081901,船舶与海洋工程,本科(普通),,本科,工学,海洋工程类,47.4,中等适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,74.0,31.0,43.0,0.0,0.0,41.9,58.1,0.0,0.0,以对口岗位为主,交通海事民航铁路(30)；公安/移民/基层执法(28)；海关/边检(23)；统计调查(3)；税务系统(1)；生态环境/自然资源/农业水利(1),102.0,122.69,28.0,0.0,0.0,,17.0,23.0,89.88,44.0,59.5,133.5,13.0,17.6,193.31,53.0,127.0,63.0,64.0,medium,升学后中等潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,头部院校优势主要体现在保研/读研后进入更高层级岗位。,可作为备选路径，适合叠加党员、基层项目、应届身份等条件。,可作为基层备选，但要靠地域、应届和限制条件放大机会。,上海出入境边防检查总站|上海市公安局特勤局|上海海事局|中国民用航空局华东地区管理局|中国法学会|人力资源和社会保障部|全国总工会|公安部,一级主任科员及以下|一级行政执法员（一）|一级行政执法员（七）|一级行政执法员（三十四）|一级行政执法员（三）|一级行政执法员（九）|一级行政执法员（二十一）|一级行政执法员（二十三）
081902T,海洋工程与技术,本科(普通),,本科,工学,海洋工程类,31.5,弱适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,45.0,1.0,44.0,0.0,0.0,2.2,97.8,0.0,0.0,主要靠专业大类/门类岗位,公安/移民/基层执法(27)；海关/边检(14)；交通海事民航铁路(11)；统计调查(3)；税务系统(1),60.0,86.67,5.0,0.0,0.0,,16.0,35.6,71.88,24.0,53.3,86.99,5.0,11.1,219.6,21.0,66.0,1.0,65.0,limited,升学后中等潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,岗位窗口较窄，建议只作为就业备选项。,不适合作为普通应用院校的考公主卖点。,上海出入境边防检查总站|上海市公安局特勤局|中国民用航空局华东地区管理局|中国法学会|人力资源和社会保障部|公安部|内蒙古出入境边防检查总站|北京市公安局特勤局,一级主任科员及以下|一级行政执法员（七）|一级行政执法员（二十三）|一级行政执法员（二）|一级行政执法员（六）|一级行政执法员（十）|一级警长及以下（一）|一级警长及以下（七）
081903T,海洋资源开发技术,本科(普通),,本科,工学,海洋工程类,31.5,弱适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,45.0,1.0,44.0,0.0,0.0,2.2,97.8,0.0,0.0,主要靠专业大类/门类岗位,公安/移民/基层执法(27)；海关/边检(14)；交通海事民航铁路(10)；统计调查(3)；税务系统(1),60.0,92.15,4.0,0.0,0.0,,17.0,37.8,93.41,23.0,51.1,86.03,5.0,11.1,219.6,22.0,67.0,2.0,65.0,limited,升学后中等潜力,存在专业代码或专业名称精确匹配，并有直接学历兼容岗位。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,岗位窗口较窄，建议只作为就业备选项。,不适合作为普通应用院校的考公主卖点。,上海出入境边防检查总站|上海市公安局特勤局|中国民用航空局华东地区管理局|中国法学会|人力资源和社会保障部|公安部|内蒙古出入境边防检查总站|北京市公安局特勤局,一级主任科员及以下|一级行政执法员（七）|一级行政执法员（二十三）|一级行政执法员（二）|一级行政执法员（六）|一级行政执法员（十）|一级警长及以下（一）|一级警长及以下（七）
081904T,海洋机器人,本科(普通),,本科,工学,海洋工程类,28.0,弱适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,44.0,0.0,44.0,0.0,0.0,0.0,100.0,0.0,0.0,主要靠专业大类/门类岗位,公安/移民/基层执法(27)；海关/边检(14)；交通海事民航铁路(10)；统计调查(3)；税务系统(1),59.0,86.29,4.0,0.0,0.0,,16.0,36.4,71.88,23.0,52.3,86.03,5.0,11.4,219.6,21.0,65.0,0.0,65.0,limited,升学后中等潜力,主要来自专业类/学科门类宽口径匹配，报考前必须核官方专业目录。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,岗位窗口较窄，建议只作为就业备选项。,不适合作为普通应用院校的考公主卖点。,上海出入境边防检查总站|上海市公安局特勤局|中国民用航空局华东地区管理局|中国法学会|人力资源和社会保障部|公安部|内蒙古出入境边防检查总站|北京市公安局特勤局,一级主任科员及以下|一级行政执法员（七）|一级行政执法员（二十三）|一级行政执法员（二）|一级行政执法员（六）|一级行政执法员（十）|一级警长及以下（一）|一级警长及以下（七）
081905T,智慧海洋技术,本科(普通),,本科,工学,海洋工程类,28.0,弱适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,44.0,0.0,44.0,0.0,0.0,0.0,100.0,0.0,0.0,主要靠专业大类/门类岗位,公安/移民/基层执法(27)；海关/边检(14)；交通海事民航铁路(10)；统计调查(3)；税务系统(1),59.0,86.29,4.0,0.0,0.0,,16.0,36.4,71.88,23.0,52.3,86.03,5.0,11.4,219.6,21.0,65.0,0.0,65.0,limited,升学后中等潜力,主要来自专业类/学科门类宽口径匹配，报考前必须核官方专业目录。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,岗位窗口较窄，建议只作为就业备选项。,不适合作为普通应用院校的考公主卖点。,上海出入境边防检查总站|上海市公安局特勤局|中国民用航空局华东地区管理局|中国法学会|人力资源和社会保障部|公安部|内蒙古出入境边防检查总站|北京市公安局特勤局,一级主任科员及以下|一级行政执法员（七）|一级行政执法员（二十三）|一级行政执法员（二）|一级行政执法员（六）|一级行政执法员（十）|一级警长及以下（一）|一级警长及以下（七）
081906T,智能海洋装备,本科(普通),,本科,工学,海洋工程类,28.0,弱适配,2026国考职位表/中央机关及直属机构口径（第三方镜像）,44.0,0.0,44.0,0.0,0.0,0.0,100.0,0.0,0.0,主要靠专业大类/门类岗位,公安/移民/基层执法(27)；海关/边检(14)；交通海事民航铁路(10)；统计调查(3)；税务系统(1),59.0,86.29,4.0,0.0,0.0,,16.0,36.4,71.88,23.0,52.3,86.03,5.0,11.4,219.6,21.0,65.0,0.0,65.0,limited,升学后中等潜力,主要来自专业类/学科门类宽口径匹配，报考前必须核官方专业目录。,可以考，但院校层级优势有限，更依赖岗位地区和限制条件。,岗位窗口较窄，建议只作为就业备选项。,不适合作为普通应用院校的考公主卖点。,上海出入境边防检查总站|上海市公安局特勤局|中国民用航空局华东地区管理局|中国法学会|人力资源和社会保障部|公安部|内蒙古出入境边防检查总站|北京市公安局特勤局,一级主任科员及以下|一级行政执法员（七）|一级行政执法员（二十三）|一级行政执法员（二）|一级行政执法员（六）|一级行政执法员（十）|一级警长及以下（一）|一级警长及以下（七）
